TimeSinceMark,CurrentStage,AltitudeASL,DownRange,SpeedSurface,SpeedOrbital,Mass,Acceleration,Q,AoA,AoS,AoD,AltitudeTrue,Pitch,GravityLosses,DragLosses,SteeringLosses,DeltaVExpended,
"4,53999989852298",1,"102083,511424177","10745,3533032894","2738,931129782","2943,2877315174","6,22100212627993","0,98322799981208",0,"-0,19892513223868","3,30379904971333","3,30966130954227","102068,614008366","6,67874450683594","1,6995658440566","-8,35E-13","0,0712617142105076","43,5074861969097","558,539999898523"
"4,75999989360599",1,"102120,167500644","11259,6630845577","2740,95363477632","2945,31553267531","6,21710070425615","0,983844133364112",0,"-0,196906004549393","3,32922764078956","3,33492441402977","102105,145339979","6,73057861328125","1,78905902635523","-8,79E-13","0,0753801454902529","45,6300584480487","558,759999893606"
"4,97999988868799",1,"102157,129495601","11774,34393816","2742,97669953143","2947,34392453293","6,21319898420916","0,984461269255513",0,"-0,194912280088695","3,35459835335826","3,36023069831159","102141,982077804","6,78243103027344","1,87922606083954","-9,23E-13","0,0795636870322939","47,7539626761298","558,979999888688"
"5,199999883771",1,"102194,398662144","12289,3430623779","2745,00032262378","2949,37290565495","6,20929756218538","0,985079145028285",0,"-0,192956622005415","3,3799062556778","3,38530183594873","102179,125474408","6,8343017578125","1,97006881237536","-9,67E-13","0,0838124659683002","49,8792012263586","559,199999883771"
"5,41999987885401",1,"102231,976254859","12804,7037726684","2747,02450370788","2951,40247568893","6,20539614016161","0,985697535698822",0,"-0,191023392515073","3,40516545463893","3,41045867713507","102216,576783906","6,88618774414063","2,06158914048915","-1,01E-12","0,0881271441574763","52,0057756535093","559,419999878854"
"5,63999987393601",1,"102269,863528704","13320,3821278029","2749,04924226674","2953,43263409227","6,20149442011461","0,986317005028428",0,"-0,189124024015178","3,43036784856797","3,43547138219843","102254,337261036","6,93810119628906","2,15378890127753","-1,06E-12","0,0925079500267893","54,1336878185539","559,639999873936"
"5,85999986901902",1,"102308,061740057","13836,3778297491","2751,07453827313","2955,46338084455","6,19759270006762","0,986937137918829",0,"-0,187252423100373","3,45552163484067","3,460518525511","102292,408161637","6,99002990722656","2,2466699436355","-1,1E-12","0,09695548469459","56,2629389034465","559,859999869019"
"6,07999986410101",1,"102346,572146077","14352,7341122816","2753,10038990488","2957,49471409351","6,19369157606707","0,987557868701351",0,"-0,185403990429194","3,48062917196154","3,48546456273057","102330,790742494","7,0419921875","2,34023411334128","-1,15E-12","0,101470124394054","58,3935309441781","560,079999864101"
"6,29999985918403",1,"102385,396005784","14869,4598150756","2755,12679732335","2959,52663398842","6,18978985602007","0,988179479418579",0,"-0,183597883134945","3,50567883091269","3,51039529163149","102369,486261862","7,09397277832031","2,43448325129355","-1,19E-12","0,106052340291796","60,5254655598045","560,299999859184"
"6,51999985426699",1,"102424,534578527","15386,4709662797","2757,15376014362","2961,55914013278","6,18588813597307","0,988802074357378",0,"-0,181821475411133","3,53066840081938","3,53529989260795","102408,495979031","7,14596557617188","2,52941919262359","-1,24E-12","0,110702624682634","62,6587444163304","560,519999854267"
